ST,AGEP,COW,SCHL,SEX,WKHP,YOEP,ANC1P,DECADE,INDP,PINCP,POBP,RAC2P
1,22,1,18,1,18,2012,750,7,7870,4000,217,49
1,72,NA,16,1,NA,2005,750,7,NA,1200,217,49
1,61,NA,16,2,NA,2003,750,7,NA,0,217,49
1,55,6,18,2,32,1979,750,4,8880,36000,217,49
1,56,9,19,2,NA,1990,750,6,9920,0,217,49
1,50,6,21,1,30,1963,750,3,7370,10000,217,49
1,47,1,18,1,50,2006,750,7,3570,80000,217,49
1,40,NA,21,2,NA,2007,750,7,NA,0,217,49
1,8,NA,6,2,NA,2007,750,7,NA,NA,217,49
1,7,NA,4,1,NA,2007,750,7,NA,NA,217,49
1,29,1,21,1,50,1984,750,5,4070,45000,217,49
1,49,1,22,1,48,1974,750,4,3570,330900,217,49
1,45,NA,21,2,NA,1978,750,4,NA,0,217,49
1,41,1,19,2,NA,1980,750,5,3670,0,217,49
1,45,4,24,1,70,1992,750,6,7870,168000,217,49
1,44,3,22,2,NA,1984,750,5,7870,0,217,49
1,38,1,22,1,50,2009,750,7,3570,66000,217,49
1,35,1,22,2,NA,2012,750,7,8660,0,217,49
1,53,1,21,1,50,2000,750,7,3570,40000,217,49
1,43,1,16,1,60,2006,750,7,3570,60000,217,49
1,32,1,21,1,45,2011,750,7,7280,58000,217,49
1,34,1,21,2,NA,2011,750,7,7780,0,217,49
1,30,1,22,1,50,2004,750,7,4195,46000,217,49
1,30,3,21,2,NA,2011,750,7,7860,0,217,49
1,68,NA,11,2,NA,1975,750,4,NA,12200,217,49
1,73,NA,21,2,NA,1982,750,5,NA,8500,217,49
1,56,NA,24,1,NA,1987,750,5,NA,172000,217,49
1,54,NA,21,2,NA,1987,750,5,NA,0,217,49
1,27,1,21,1,50,1987,795,5,6680,33000,217,49
1,41,4,19,1,70,1973,750,4,8190,46130,217,49
1,38,1,17,2,NA,2009,750,7,5180,0,217,49
1,38,1,18,1,55,2009,750,7,3570,80000,217,49
1,31,1,18,2,10,2011,750,7,3570,500,217,49
1,35,1,18,1,40,1979,750,4,8680,4800,217,49
1,29,1,21,2,38,1984,750,5,5380,28000,217,49
1,50,6,21,1,40,2012,750,7,7860,18040,217,49
1,44,1,21,2,40,2012,750,7,1290,6600,217,49
1,10,NA,7,2,NA,2012,750,7,NA,NA,217,49
1,7,NA,3,2,NA,2012,750,7,NA,NA,217,49
1,66,NA,21,2,NA,1975,750,4,NA,60000,217,49
1,54,1,21,1,50,1983,750,5,3570,50000,217,49
1,51,1,16,2,50,1981,750,5,3570,55000,217,49
1,43,1,21,1,36,1977,750,4,6480,45600,217,49
1,49,1,21,1,50,2010,750,7,3570,78000,217,49
1,45,NA,21,2,NA,2011,750,7,NA,0,217,49
1,12,NA,9,2,NA,2011,750,7,NA,NA,217,49
1,42,1,21,1,40,2012,750,7,7380,11000,217,49
1,40,NA,16,2,NA,2012,750,7,NA,0,217,49
1,12,NA,8,2,NA,2012,750,7,NA,NA,217,49
1,10,NA,6,2,NA,2012,750,7,NA,NA,217,49
1,26,1,21,1,40,1986,750,5,7290,36000,217,49
1,68,NA,19,2,NA,1995,750,6,NA,700,217,49
1,22,1,18,1,18,2012,750,7,7870,4000,217,49
2,25,3,20,2,38,1987,750,5,7860,28000,217,49
2,56,7,1,2,16,1996,795,6,9090,14900,217,49
2,31,2,19,2,2,1996,795,6,9160,980,217,49
2,49,6,16,1,20,2004,750,7,4590,17880,217,49
2,38,1,16,2,NA,1988,750,5,5790,880,217,49
2,66,1,16,1,NA,1979,750,4,4970,8000,217,49
2,61,3,16,2,40,1980,750,5,7860,41000,217,49
2,15,NA,11,1,NA,1999,750,6,NA,0,217,49
2,46,6,16,2,40,1987,750,5,8880,70000,217,49
2,38,6,12,2,50,1981,750,5,8680,15900,217,49
2,45,6,16,1,80,2000,750,7,8680,15900,217,49
2,32,1,18,2,25,1981,750,5,8680,16000,217,49
2,84,NA,13,1,NA,1997,750,6,NA,12700,217,49
2,79,NA,1,2,NA,1997,750,6,NA,1200,217,49
2,23,6,19,1,50,1995,750,6,8680,22000,217,49
2,57,2,24,1,40,1990,750,6,7870,70900,217,49
2,54,1,21,2,40,1991,750,6,8980,60900,217,49
2,30,1,19,2,30,2011,750,7,8680,15000,217,49
2,17,1,14,2,50,2000,750,7,4970,11100,217,49
4,17,NA,15,1,NA,1995,750,6,NA,0,217,49
4,40,1,22,1,40,2013,750,7,3390,80000,217,49
4,39,NA,16,2,NA,2013,750,7,NA,0,217,49
4,13,NA,10,2,NA,2013,750,7,NA,NA,217,49
4,10,NA,7,1,NA,2013,750,7,NA,NA,217,49
4,68,1,19,1,30,1974,750,4,7680,63000,217,49
4,64,NA,16,2,NA,2006,750,7,NA,0,217,49
4,53,NA,12,2,NA,1989,750,5,NA,0,217,49
